Species,Code,North America,,,,,,,
(American) Barn Owl,ABOW,1,,,,,,,
(Northern) House Wren,NHWR,1,,,,,,,
Abert's Towhee,ABTO,1,,,,,,,
Acadian Flycatcher,ACFL,1,,,,,,,
Acorn Woodpecker,ACWO,1,,,,,,,
Alder Flycatcher,ALFL,1,,,,,,,
Allen's Hummingbird,ALHU,1,,,,,,,
American Avocet,AMAV,1,,,,,,,
American Bittern,AMBI,1,,,,,,,
American Black Duck,ABDU,1,,,,,,,
American Coot,AMCO,1,,,,,,,
American Crow,AMCR,1,,,,,,,
American Dipper,AMDI,1,,,,,,,
American Golden-Plover,AMGP,1,,,,,,,
American Goldfinch,AGOL,1,,,,,,,
American Goshawk,AGOS,1,,,,,,,
American Herring Gull (Herring Gull),AHGU,1,,,,,,,
American Kestrel,AMKE,1,,,,,,,
American Oystercatcher,AMOY,1,,,,,,,
American Pipit,AMPI,1,,,,,,,
American Redstart,AMRE,1,,,,,,,
American Robin,AMRO,1,,,,,,,
American Tree Sparrow,ATSP,1,,,,,,,
American White Pelican,AWPE,1,,,,,,,
American Wigeon,AMWI,1,,,,,,,
American Woodcock,AMWO,1,,,,,,,
Anhinga,ANHI,1,,,,,,,
Anna's Hummingbird,ANHU,1,,,,,,,
Arctic Tern,ARTE,1,,,,,,,
Ash-throated Flycatcher,ATFL,1,,,,,,,
Atlantic Puffin,ATPU,1,,,,,,,
Bachman's Sparrow,BACS,1,,,,,,,
Baird's Sandpiper,BASA,1,,,,,,,
Bald Eagle,BAEA,1,,,,,,,
Baltimore Oriole,BAOR,1,,,,,,,
Band-tailed Pigeon,BTPI,1,,,,,,,
Bank Swallow,BANS,1,,,,,,,
Barn Swallow,BARS,1,,,,,,,
Barred Owl,BAOW,1,,,,,,,
Barrow's Goldeneye,BAGO,1,,,,,,,
Bay-breasted Warbler,BBWA,1,,,,,,,
Bell's Sparrow,BESP,1,,,,,,,
Bell's Vireo,BEVI,1,,,,,,,
Belted Kingfisher,BEKI,1,,,,,,,
Bewick's Wren,BEWR,1,,,,,,,
Black Guillemot,BLGU,1,,,,,,,
Black Oystercatcher,BLOY,1,,,,,,,
Black Phoebe,BLPH,1,,,,,,,
Black Scoter,BLSC,1,,,,,,,
Black Skimmer,BLSK,1,,,,,,,
Black Storm-Petrel,BLSP,1,,,,,,,
Black Tern,BLTE,1,,,,,,,
Black Turnstone,BLTU,1,,,,,,,
Black Vulture,BLVU,1,,,,,,,
Black-and-white Warbler,BAWW,1,,,,,,,
Black-bellied Plover,BBPL,1,,,,,,,
Black-bellied Whistling-Duck,BBWD,1,,,,,,,
Black-billed Cuckoo,BBCU,1,,,,,,,
Black-billed Magpie,BBMA,1,,,,,,,
Black-capped Chickadee,BCCH,1,,,,,,,
Black-chinned Hummingbird,BCHU,1,,,,,,,
Black-chinned Sparrow,BCSP,1,,,,,,,
Black-crowned Night Heron,BCNH,1,,,,,,,
Black-footed Albatross,BFAL,1,,,,,,,
Black-headed Grosbeak,BHGR,1,,,,,,,
Black-legged Kittiwake,BLKI,1,,,,,,,
Black-necked Stilt,BNST,1,,,,,,,
Black-tailed Gnatcatcher,BTGN,1,,,,,,,
Black-throated Blue Warbler,BTBW,1,,,,,,,
Black-throated Gray Warbler,BTYW,1,,,,,,,
Black-throated Green Warbler,BTNW,1,,,,,,,
Black-throated Sparrow,BTSP,1,,,,,,,
Black-vented Shearwater,BVSH,1,,,,,,,
Blackburnian Warbler,BLBW,1,,,,,,,
Blackpoll Warbler,BLPW,1,,,,,,,
Blue Grosbeak,BLGR,1,,,,,,,
Blue Jay,BLJA,1,,,,,,,
Blue-gray Gnatcatcher,BGGN,1,,,,,,,
Blue-headed Vireo,BHVI,1,,,,,,,
Blue-winged Teal,BWTE,1,,,,,,,
Blue-winged Warbler,BWWA,1,,,,,,,
Boat-tailed Grackle,BTGR,1,,,,,,,
Bobolink,BOBO,1,,,,,,,
Bonaparte's Gull,BOGU,1,,,,,,,
Boreal Chickadee,BOCH,1,,,,,,,
Brandt's Cormorant,BRAC,1,,,,,,,
Brant,BRAN,1,,,,,,,
Brewer's Blackbird,BRBL,1,,,,,,,
Brewer's Sparrow,BRSP,1,,,,,,,
Broad-tailed Hummingbird,BTHU,1,,,,,,,
Broad-winged Hawk,BWHA,1,,,,,,,
Bronzed Cowbird,BROC,1,,,,,,,
Brown Creeper,BRCR,1,,,,,,,
Brown Pelican,BRPE,1,,,,,,,
Brown Thrasher,BRTH,1,,,,,,,
Brown-crested Flycatcher,BCFL,1,,,,,,,
Brown-headed Cowbird,BHCO,1,,,,,,,
Brown-headed Nuthatch,BHNU,1,,,,,,,
Buff-breasted Sandpiper,BBSA,1,,,,,,,
Bufflehead,BUFF,1,,,,,,,
Bullock's Oriole,BUOR,1,,,,,,,
Burrowing Owl,BUOW,1,,,,,,,
Bushtit,BUSH,1,,,,,,,
Cackling Goose,CACG,1,,,,,,,
Cactus Wren,CACW,1,,,,,,,
California Gull,CAGU,1,,,,,,,
California Quail,CAQU,1,,,,,,,
California Scrub-Jay,CASJ,1,,,,,,,
California Towhee,CALT,1,,,,,,,
Calliope Hummingbird,CAHU,1,,,,,,,
Canada Goose,CANG,1,,,,,,,
Canada Jay,CAJA,1,,,,,,,
Canada Warbler,CAWA,1,,,,,,,
Canvasback,CANV,1,,,,,,,
Canyon Towhee,CANT,1,,,,,,,
Canyon Wren,CANW,1,,,,,,,
Cape May Warbler,CMWA,1,,,,,,,
Carolina Chickadee,CACH,1,,,,,,,
Carolina Wren,CARW,1,,,,,,,
Caspian Tern,CATE,1,,,,,,,
Cassin's Auklet,CAAU,1,,,,,,,
Cassin's Finch,CAFI,1,,,,,,,
Cassin's Kingbird,CAKI,1,,,,,,,
Cassin's Sparrow,CASP,1,,,,,,,
Cassin's Vireo,CAVI,1,,,,,,,
Cave Swallow,CASW,1,,,,,,,
Cedar Waxwing,CEDW,1,,,,,,,
Chestnut-backed Chickadee,CBCH,1,,,,,,,
Chestnut-collared Longspur,CCLO,1,,,,,,,
Chestnut-sided Warbler,CSWA,1,,,,,,,
Chihuahuan Meadowlark,CHME,1,,,,,,,
Chihuahuan Raven,CHRA,1,,,,,,,
Chimney Swift,CHSW,1,,,,,,,
Chipping Sparrow,CHSP,1,,,,,,,
Chuck-will's-widow,CWWI,1,,,,,,,
Cinnamon Teal,CITE,1,,,,,,,
Clapper Rail,CLRA,1,,,,,,,
Clark's Grebe,CLGR,1,,,,,,,
Clark's Nutcracker,CLNU,1,,,,,,,
Clay-colored Sparrow,CCSP,1,,,,,,,
Cliff Swallow,CLSW,1,,,,,,,
Common Eider,COEI,1,,,,,,,
Common Gallinule,COGA,1,,,,,,,
Common Goldeneye,COGO,1,,,,,,,
Common Grackle,COGR,1,,,,,,,
Common Ground Dove,CGDO,1,,,,,,,
Common Loon,COLO,1,,,,,,,
Common Merganser,COME,1,,,,,,,
Common Murre,COMU,1,,,,,,,
Common Nighthawk,CONI,1,,,,,,,
Common Poorwill,COPO,1,,,,,,,
Common Raven,CORA,1,,,,,,,
Common Redpoll (Redpoll),REDP,1,,,,,,,
Common Tern,COTE,1,,,,,,,
Common Yellowthroat,COYE,1,,,,,,,
Cooper's Hawk,COHA,1,,,,,,,
Cory's Shearwater,CORS,1,,,,,,,
Costa's Hummingbird,COHU,1,,,,,,,
Curve-billed Thrasher,CBTH,1,,,,,,,
Dark-eyed Junco,DEJU,1,,,,,,,
Dickcissel,DICK,1,,,,,,,
Double-crested Cormorant,DCCO,1,,,,,,,
Downy Woodpecker,DOWO,1,,,,,,,
Dunlin,DUNL,1,,,,,,,
Dusky Flycatcher,DUFL,1,,,,,,,
Eared Grebe,EAGR,1,,,,,,,
Eastern Bluebird,EABL,1,,,,,,,
Eastern Kingbird,EAKI,1,,,,,,,
Eastern Meadowlark,EAME,1,,,,,,,
Eastern Phoebe,EAPH,1,,,,,,,
Eastern Screech-Owl,EASO,1,,,,,,,
Eastern Towhee,EATO,1,,,,,,,
Eastern Whip-poor-will,EWPW,1,,,,,,,
Eastern Wood-Pewee,EAWP,1,,,,,,,
Elegant Tern,ELTE,1,,,,,,,
Eurasian Collared-Dove,EUCD,1,,,,,,,
European Starling,EUST,1,,,,,,,
Evening Grosbeak,EVGR,1,,,,,,,
Ferruginous Hawk,FEHA,1,,,,,,,
Field Sparrow,FISP,1,,,,,,,
Fish Crow,FICR,1,,,,,,,
Forster's Tern,FOTE,1,,,,,,,
Fox Sparrow,FOSP,1,,,,,,,
Franklin's Gull,FRGU,1,,,,,,,
Fulvous Whistling-Duck,FUWD,1,,,,,,,
Gadwall,GADW,1,,,,,,,
Gambel's Quail,GAQU,1,,,,,,,
Gila Woodpecker,GIWO,1,,,,,,,
Glaucous Gull,GLGU,1,,,,,,,
Glaucous-winged Gull,GWGU,1,,,,,,,
Glossy Ibis,GLIB,1,,,,,,,
Golden Eagle,GOEA,1,,,,,,,
Golden-crowned Kinglet,GCKI,1,,,,,,,
