Species,North America,South America,Africa,Asia,Europe,Oceania
Common Ostrich,6,6,1,6,6,3
Somali Ostrich,6,6,2,6,6,6
Southern Cassowary,6,6,6,6,6,2
Dwarf Cassowary,6,6,6,6,6,5
Northern Cassowary,6,6,6,6,6,6
Emu,6,6,6,6,6,1
Southern Brown Kiwi,6,6,6,6,6,2
Okarito Brown Kiwi,6,6,6,6,6,4
North Island Brown Kiwi,6,6,6,6,6,2
Little Spotted Kiwi,6,6,6,6,6,3
Great Spotted Kiwi,6,6,6,6,6,3
Greater Rhea,6,1,6,6,5,6
Lesser Rhea,6,1,6,6,6,6
Tawny-breasted Tinamou,6,2,6,6,6,6
Highland Tinamou,6,3,6,6,6,6
Hooded Tinamou,6,3,6,6,6,6
Gray Tinamou,6,2,6,6,6,6
Solitary Tinamou,6,2,6,6,6,6
Black Tinamou,6,3,6,6,6,6
Great Tinamou,2,1,6,6,6,6
White-throated Tinamou,6,2,6,6,6,6
Cinereous Tinamou,6,1,6,6,6,6
Berlepsch's Tinamou,6,3,6,6,6,6
Little Tinamou,2,1,6,6,6,6
Tepui Tinamou,6,6,6,6,6,6
Brown Tinamou,6,1,6,6,6,6
Undulated Tinamou,6,1,6,6,6,6
Pale-browed Tinamou,6,4,6,6,6,6
Brazilian Tinamou,6,3,6,6,6,6
Gray-legged Tinamou,6,4,6,6,6,6
Red-legged Tinamou,6,4,6,6,6,6
Yellow-legged Tinamou,6,2,6,6,6,6
Black-capped Tinamou,6,2,6,6,6,6
Slaty-breasted Tinamou,3,6,6,6,6,6
Choco Tinamou,6,6,6,6,6,6
Variegated Tinamou,6,1,6,6,6,6
Thicket Tinamou,1,6,6,6,6,6
Rusty Tinamou,6,6,6,6,6,6
Bartlett's Tinamou,6,3,6,6,6,6
Small-billed Tinamou,6,1,6,6,6,6
Barred Tinamou,6,6,6,6,6,6
Tataupa Tinamou,6,1,6,6,6,6
Red-winged Tinamou,6,1,6,6,6,6
Huayco Tinamou,6,3,6,6,6,6
Taczanowski's Tinamou,6,4,6,6,6,6
Ornate Tinamou,6,2,6,6,6,6
Chilean Tinamou,6,1,6,6,6,6
Brushland Tinamou,6,1,6,6,6,6
Andean Tinamou,6,1,6,6,6,6
Curve-billed Tinamou,6,5,6,6,6,6
White-bellied Nothura,6,2,6,6,6,6
Lesser Nothura,6,4,6,6,6,6
Darwin's Nothura,6,2,6,6,6,6
Spotted Nothura,6,1,6,6,6,6
Dwarf Tinamou,6,5,6,6,6,6
Elegant Crested-Tinamou,6,1,6,6,6,6
